itemName,itemUrl,specifications,price,imageUrl,rating
Acer Spin 5 Core i3 7th Gen - (4 GB/256 GB SSD/Windows ...,https://www.flipkart.com//acer-spin-5-core-i3-7th-gen-4-gb-256-gb-ssd-windows-10-home-sp513-51-2-1-laptop/p/itmf3s3fqby3hh2s?pid=COMETVFUZ23WG6MW&lid=LSTCOMETVFUZ23WG6MWAHKSFL&marketplace=FLIPKART&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMETVFUZ23WG6MW.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['13.3 inch', 'Black', '1.6 kg']","₹51,999",https://rukminim1.flixcart.com/image/612/612/j2kr0y80/computer/6/m/w/acer-2-in-1-laptop-original-imaetwab56hbeus8.jpeg?q=70,4.4
Acer Nitro 5 Core i7 8th Gen - (8 GB + 16 GB Optane/1 T...,https://www.flipkart.com//acer-nitro-5-core-i7-8th-gen-8-gb-16-optane-1-tb-hdd-windows-10-home-4-graphics-nvidia-geforce-gtx-1050-ti-an515-52-gaming-laptop/p/itmfhjgedhhqccze?pid=COMFHJGEKYY8QBWH&lid=LSTCOMFHJGEKYY8QBWHI3QAVP&marketplace=FLIPKART&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFHJGEKYY8QBWH.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Shale Black', '2.7 kg']","₹69,990",https://rukminim1.flixcart.com/image/612/612/k3xcdjk0pkrrdj/computer/j/f/w/acer-na-gaming-laptop-original-imafhnvjzn8trgfz.jpeg?q=70,3
Acer Nitro 5 Core i5 9th Gen - (8 GB/1 TB HDD/Windows 1...,https://www.flipkart.com//acer-nitro-5-core-i5-9th-gen-8-gb-1-tb-hdd-windows-10-home-3-gb-graphics-nvidia-geforce-gtx-1050-an517-51-53jg-gaming-laptop/p/itm3e27b8ef47ecb?pid=COMFMGBPXYYYUAZM&lid=LSTCOMFMGBPXYYYUAZMS0SQI2&marketplace=FLIPKART&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFMGBPXYYYUAZM.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['17.3 inch', 'Obsidian Black', '2.7 kg']","₹59,990",https://rukminim1.flixcart.com/image/612/612/k3xcdjk0/computer/a/z/m/acer-na-gaming-laptop-original-imafmy4wtczbepfh.jpeg?q=70,
Acer Swift 5 Core i5 8th Gen - (8 GB/512 GB SSD/Windows...,https://www.flipkart.com//acer-swift-5-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-home-sf514-52t-59jy-thin-light-laptop/p/itmfhkkhc46wv6cf?pid=COMFHKKHKPRRG3ZZ&lid=LSTCOMFHKKHKPRRG3ZZU3NZMG&marketplace=FLIPKART&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFHKKHKPRRG3ZZ.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['14 inch', 'Charcoal Blue', '0.97 kg']","₹87,999",https://rukminim1.flixcart.com/image/612/612/jzrb53k0pkrrdj/computer/t/z/e/acer-na-thin-and-light-laptop-original-imafhnvk5ussrgta.jpeg?q=70,
Acer Spin 7 Core i7 7th Gen - (8 GB/256 GB SSD/Windows ...,https://www.flipkart.com//acer-spin-7-core-i7-7th-gen-8-gb-256-gb-ssd-windows-10-home-sp714-51-laptop/p/itmf3s3f8xrx7bzj?pid=COMEQBGDGHYZAX4G&lid=LSTCOMEQBGDGHYZAX4GULX3AH&marketplace=FLIPKART&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMEQBGDGHYZAX4G.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['14 inch', 'Black']","₹1,19,990",https://rukminim1.flixcart.com/image/612/612/computer/x/4/g/acer-aspire-notebook-original-imaeqcx3tpzq5cna.jpeg?q=70,4
Acer Predator 17 Core i7 7th Gen - (16 GB/2 TB HDD/256 ...,https://www.flipkart.com//acer-predator-17-core-i7-7th-gen-16-gb-2-tb-hdd-256-gb-ssd-windows-10-home-8-graphics-nvidia-geforce-gtx-1070-g9-793-gaming-laptop/p/itmf5nvq9yknb5ed?pid=COMF5NVPMPPC4JWC&lid=LSTCOMF5NVPMPPC4JWCYB7SSS&marketplace=FLIPKART&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMF5NVPMPPC4JWC.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['17.3 inch', 'Black', '4.2 kg', 'With MS Office']","₹1,86,555",https://rukminim1.flixcart.com/image/612/612/jiqb8nk0/computer/j/w/c/acer-na-gaming-laptop-original-imaf6gghtgtf6ezf.jpeg?q=70,
Acer Predator 15 Core i7 7th Gen - (16 GB/1 TB HDD/256 ...,https://www.flipkart.com//acer-predator-15-core-i7-7th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1060-g9-593-gaming-laptop/p/itmf3s3fykezhher?pid=COMEZZBCDFGCRFSN&lid=LSTCOMEZZBCDFGCRFSNKK9PW6&marketplace=FLIPKART&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMEZZBCDFGCRFSN.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Black', '3.7 kg', 'With MS Office']","₹1,59,703",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Acer Core i7 6th Gen - (16 GB/1 TB HDD/128 GB SSD/Windo...,https://www.flipkart.com//acer-core-i7-6th-gen-16-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-980m-g9-591-gaming-laptop/p/itmf3s32mthcetfv?pid=COMEHWC6G72PG5VT&lid=LSTCOMEHWC6G72PG5VTY8KLJF&marketplace=FLIPKART&srno=s_2_50&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMEHWC6G72PG5VT.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Black', '3.4 kg']","₹1,79,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Acer Predator Helios 300 Core i5 7th Gen - (8 GB/1 TB H...,https://www.flipkart.com//acer-predator-helios-300-core-i5-7th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1050ti-g3-572-gaming-laptop/p/itmf3s3fgfy36h67?pid=COMEWGGDGQDDSGPD&lid=LSTCOMEWGGDGQDDSGPDTEZG5J&marketplace=FLIPKART&srno=s_2_51&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMEWGGDGQDDSGPD.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Black', '2.7 kg']","₹1,29,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.5
Acer NITRO 5 Core i5 9th Gen - (8 GB/1 TB SSD/Windows 1...,https://www.flipkart.com//acer-nitro-5-core-i5-9th-gen-8-gb-1-tb-ssd-windows-10-home-6-gb-graphics-nvidia-geforce-gtx-1660-ti-an515-54-51mb-an515-54-504h-gaming-laptop/p/itmd9e2ca27f3563?pid=COMFHNY8TEGTATPR&lid=LSTCOMFHNY8TEGTATPR3IQDP3&marketplace=FLIPKART&srno=s_2_52&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFHNY8TEGTATPR.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black']","₹74,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.5
