itemName,brand,itemUrl,price,imageUrl
"PILOT PVC Gumboots,Height - 33cms Boots For Men",Safies,https://www.flipkart.com//safies-pilot-pvc-gumboots-height-33cms-boots-men/p/itmb0db957eb6258?pid=SHOFHCBZYPXCQBJN&lid=LSTSHOFHCBZYPXCQBJNZ7NEGC&marketplace=FLIPKART&srno=s_4_138&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFHCBZYPXCQBJN.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹389,https://rukminim1.flixcart.com/image/309/371/k1wgx3k0/shoe/d/r/8/gumboot-pilot-10-safies-black-original-imaehzm63qzyatmu.jpeg?q=50
Sneakers For Men,Essence,https://www.flipkart.com//essence-sneakers-men/p/itmf7txcbzh4emnr?pid=SHOF7TS75FCUT7VQ&lid=LSTSHOF7TS75FCUT7VQVRMAM4&marketplace=FLIPKART&srno=s_4_139&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOF7TS75FCUT7VQ.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/jmnrtzk0-1/shoe/n/f/z/20-40-essence-sky-blue-original-imaf9gfzyczhq6w5.jpeg?q=50
Pack of 02 Pairs Running Shoes Running Shoes For Men,Chevit,https://www.flipkart.com//chevit-pack-02-pairs-running-shoes-men/p/itm836be984a2576?pid=SHOFS4NZMQXYHJPS&lid=LSTSHOFS4NZMQXYHJPSD7ECAU&marketplace=FLIPKART&srno=s_4_140&otracker=search&otracker1=search&fm=organic&iid=en_RRj1zM%2Bv0T%2F7XcsB3EuGc0k6YG8w0RUbEwQhMZ6IaGqftCg9RdO0S%2BinpPTbtNHxl9RKic3Ie7Vp1jWaUdQpng%3D%3D&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/kalecnk0/shoe/j/p/s/cb-472-475-7-chevit-blue-grey-original-imafs4tergwqjyez.jpeg?q=50
White Sneaker For Men's/Boy's Sneakers For Men,Claptrap,https://www.flipkart.com//claptrap-white-sneaker-men-s-boy-s-sneakers-men/p/itmf2e9222fedad4?pid=SHOFGFQQZAEEXM3G&lid=LSTSHOFGFQQZAEEXM3GXHOD1S&marketplace=FLIPKART&srno=s_4_141&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFGFQQZAEEXM3G.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹379,https://rukminim1.flixcart.com/image/309/371/jy4q3680/shoe/m/3/g/nexa-7-claptrap-white-original-imafgftgtu6cu6zh.jpeg?q=50
SM-482 Sneakers For Men,Sparx,https://www.flipkart.com//sparx-sm-482-sneakers-men/p/itmea2f0d5835cb4?pid=SHOFK93VWFHQG3GZ&lid=LSTSHOFK93VWFHQG3GZGC6NEQ&marketplace=FLIPKART&srno=s_4_142&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFK93VWFHQG3GZ.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,"₹1,049",https://rukminim1.flixcart.com/image/309/371/kamtsi80/shoe/b/w/p/sx0482g-41-sparx-black-red-original-imafs5sek7mcdsd6.jpeg?q=50
Party Wear For Men,DLS,https://www.flipkart.com//dls-party-wear-men/p/itmdc17276c15a0b?pid=SHOFPWD5GFFTHEDH&lid=LSTSHOFPWD5GFFTHEDHPAREWB&marketplace=FLIPKART&srno=s_4_143&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFPWD5GFFTHEDH.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹599,https://rukminim1.flixcart.com/image/309/371/k8et4sw0/shoe/c/v/h/loaf-064-9-dls-black-original-imafqfkdszh3hpwa.jpeg?q=50
Sneakers For Men,Essence,https://www.flipkart.com//essence-sneakers-men/p/itmf3xqa3mf5eszu?pid=SHOEYJF7Y7RTZ5YR&lid=LSTSHOEYJF7Y7RTZ5YRCCZ47M&marketplace=FLIPKART&srno=s_4_144&otracker=search&otracker1=search&fm=organic&iid=en_RRj1zM%2Bv0T%2F7XcsB3EuGc0k6YG8w0RUbEwQhMZ6IaGpG%2F%2FjqrX16%2B4Hexd0wRBQKAqbe24RsZFBkTIk57h9cmg%3D%3D&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/k59xci80/kids-shoe/5/y/n/4-vchainblue3101-44-essence-original-imaeyj3sxtc2nr44.jpeg?q=50
Revolution 5 Running Shoes For Women,Nike,https://www.flipkart.com//nike-revolution-5-running-shoes-women/p/itm7ff816cce9570?pid=SHOFK455H8KEQ2Z9&lid=LSTSHOFK455H8KEQ2Z97NLWXO&marketplace=FLIPKART&srno=s_4_145&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFK455H8KEQ2Z9.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,"₹2,217",https://rukminim1.flixcart.com/image/309/371/k1jlyfk0/shoe/e/f/d/bq3207-500-7-5-nike-sanded-purple-dark-grey-amethyst-tint-original-imafh2zyhx3fvhqs.jpeg?q=50
Running Shoes For Men,Port,https://www.flipkart.com//port-running-shoes-men/p/itm13060ed10fcbe?pid=SHOFP8N6HB58UATA&lid=LSTSHOFP8N6HB58UATAQTBEWF&marketplace=FLIPKART&srno=s_4_146&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFP8N6HB58UATA.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹369,https://rukminim1.flixcart.com/image/309/371/k5vcya80pkrrdj/shoe/y/r/c/6-mrj1346-aadi-original-imafzdzekstdyvuq.jpeg?q=50
Combo Pack of 2 Latest Collection Stylish casual Sports...,Axter,https://www.flipkart.com//axter-combo-pack-2-latest-collection-stylish-casual-sports-running-shoes-men/p/itm227c04ed7b56f?pid=SHOFZRG8W7FW4PJH&lid=LSTSHOFZRG8W7FW4PJHKW4WX5&marketplace=FLIPKART&srno=s_4_147&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFZRG8W7FW4PJH.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹499,https://rukminim1.flixcart.com/image/309/371/kabe9ow0/shoe/f/2/z/combo-2-9098-9069-7-axter-multicolor-original-imafrx3hdzym3nje.jpeg?q=50
