itemName,itemUrl,specifications,price,imageUrl,rating
Razer BlackWidow Tournament Edition Chroma V2 Mechanical Yellow Switch Wired USB Gaming Keyboard,https://www.flipkart.com//razer-blackwidow-tournament-chroma-v2-mechanical-yellow-switch-wired-usb-gaming-keyboard/p/itmf2ghsfamwvqy4?pid=ACCFFNEGHCR5ZEHG&lid=LSTACCFFNEGHCR5ZEHG4AYX2C&marketplace=FLIPKART&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=8f881064-cca4-4f3b-ab0a-e6152e0e4a28.ACCFFNEGHCR5ZEHG.SEARCH&ssid=u7dwsid7ps0000001592381523378&qH=21cb4bef2f76b785,"['Size: Standard', 'Interface: Wired USB', '2 year limited warranty']","₹9,399",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.6
Asus ROG Strix G Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,https://www.flipkart.com//asus-rog-strix-g-core-i7-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-al017t-gaming-laptop/p/itmfg9ysrxunvedc?pid=COMFG9YRVU3HJG58&lid=LSTCOMFG9YRVU3HJG58GRUBQC&marketplace=FLIPKART&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=en_fovoabWNAI%2F4%2BZXrUTCjdfiAUtvk4jUDNVbGoL9pOOItlTTIvAyaGq5rWfijsqWjMWYdhowGqQcisoPPk%2FUunQ%3D%3D&ssid=u7dwsid7ps0000001592381523378&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'Intel Core i7 Processor (9th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹79,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.6
Razer Overwatch Blackwidow Chroma Wired USB Gaming Keyboard,https://www.flipkart.com//razer-overwatch-blackwidow-chroma-wired-usb-gaming-keyboard/p/itmeksfqaypyy2e2?pid=ACCEKSFQ22ZCNERW&lid=LSTACCEKSFQ22ZCNERWQQ17RF&marketplace=FLIPKART&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=8f881064-cca4-4f3b-ab0a-e6152e0e4a28.ACCEKSFQ22ZCNERW.SEARCH&ssid=u7dwsid7ps0000001592381523378&qH=21cb4bef2f76b785,"['Interface: Wired USB', '1 Year Domestic Warranty']","₹10,099",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
House Of Sensation K36 Led Backlit Usb Gaming Keyboard + Optical Pc Mouse Sets Wired Usb Wired USB Gam...,https://www.flipkart.com//house-sensation-k36-led-backlit-usb-gaming-keyboard-optical-pc-mouse-sets-wired/p/itmf7xws9srtwdhd?pid=ACCF7XGYKQP5DHEB&lid=LSTACCF7XGYKQP5DHEBURT6UJ&marketplace=FLIPKART&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=8f881064-cca4-4f3b-ab0a-e6152e0e4a28.ACCF7XGYKQP5DHEB.SEARCH&ssid=u7dwsid7ps0000001592381523378&qH=21cb4bef2f76b785,"['Size: Standard', 'Interface: Wired USB', '30 Days']","₹1,898",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Rosaline Back Cover for Asus Rog Phone 2,https://www.flipkart.com//rosaline-back-cover-asus-rog-phone-2/p/itm800362478df4e?pid=ACCFM65Z4VMFYSSG&lid=LSTACCFM65Z4VMFYSSGUKOXGM&marketplace=FLIPKART&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=8f881064-cca4-4f3b-ab0a-e6152e0e4a28.ACCFM65Z4VMFYSSG.SEARCH&ssid=u7dwsid7ps0000001592381523378&qH=21cb4bef2f76b785,"['Suitable For: Mobile', 'Material: Rubber, Silicon', 'Theme: No Theme', 'Type: Back Cover']",₹179,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.4
Zouk Flip Cover for Asus ROG Phone 2 ZS660KL,https://www.flipkart.com//zouk-flip-cover-asus-rog-phone-2-zs660kl/p/itm23c96a228d791?pid=ACCFNT6WM3BXEWAQ&lid=LSTACCFNT6WM3BXEWAQQUT0XW&marketplace=FLIPKART&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=8f881064-cca4-4f3b-ab0a-e6152e0e4a28.ACCFNT6WM3BXEWAQ.SEARCH&ssid=u7dwsid7ps0000001592381523378&qH=21cb4bef2f76b785,"['Suitable For: Mobile', 'Material: Leather', 'Theme: No Theme', 'Type: Flip Cover', ""As Per Flipkart's Replacement / Return / Refund Policy""]",₹699,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Armaggeddon RGB-EAGLE-MKA-13R Wired USB Desktop Keyboard,https://www.flipkart.com//armaggeddon-rgb-eagle-mka-13r-wired-usb-desktop-keyboard/p/itmeb199cc508017?pid=ACCFBB8CV3YQYCGY&lid=LSTACCFBB8CV3YQYCGYAD0M48&marketplace=FLIPKART&srno=s_3_49&otracker=search&otracker1=search&fm=organic&iid=ec685889-8dd4-43ac-9aff-e92881a2e859.ACCFBB8CV3YQYCGY.SEARCH&ssid=c3zvnytpcg0000001592381525625&qH=21cb4bef2f76b785,"['Case Material: Plastic', 'Size: Standard', 'Interface: Wired USB', '2 Years Warranty']","₹5,599",https://rukminim1.flixcart.com/image/312/312/jpvihzk0/keyboard/desktop-keyboard/c/g/y/armaggeddon-rgb-eagle-mka-13r-black-original-imafbbkyd9daxmxz.jpeg?q=70,
Asus ROG Strix G Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,https://www.flipkart.com//asus-rog-strix-g-core-i7-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-al030t-gaming-laptop/p/itmfg9yrxqepkhjh?pid=COMFG9YR8TJNXPED&lid=LSTCOMFG9YR8TJNXPEDDDMUPH&marketplace=FLIPKART&srno=s_3_50&otracker=search&otracker1=search&fm=organic&iid=en_cMznqADbcdG67Sg7KI98MSKaMLu9L%2FBtpPxDnqHlBGiIhmMcIbY9v700WpJ6at3Mq9SQXfxlUeNFVumztTKJhA%3D%3D&ssid=c3zvnytpcg0000001592381525625&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'Intel Core i7 Processor (9th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB HDD|256 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹81,990",https://rukminim1.flixcart.com/image/312/312/k6b2snk0/computer/p/e/d/asus-na-gaming-laptop-original-imafggytk5twybmv.jpeg?q=70,4.6
"Saco Silicone Rubber Chiclet Protector Cover Fit for Asus A555LF, A555LA, A555LD, A553SA , A553MA , A5...",https://www.flipkart.com//saco-silicone-rubber-chiclet-protector-cover-fit-asus-a555lf-a555la-a555ld-a553sa-a553ma-a540la-a540sa-f554ma-f556ua-e502ma-gl502vt-g501vw-k555lb-k555lj-r556la-x550za-x551ma-x552cl-x552wa-x555ya-x555da-x555vb-r558uf-r558ur-r510jx-rog-series-ux501vw-15-6-inch-black-clear-keyboard-skin/p/itmeqsgcnkhbrhvs?pid=KSNEQSGC3ZHYTSBW&lid=LSTKSNEQSGC3ZHYTSBWXZAU7W&marketplace=FLIPKART&srno=s_3_51&otracker=search&otracker1=search&fm=organic&iid=ec685889-8dd4-43ac-9aff-e92881a2e859.KSNEQSGC3ZHYTSBW.SEARCH&ssid=c3zvnytpcg0000001592381525625&qH=21cb4bef2f76b785,"['Asus A555LF, A555LA, A555LD, A553SA , A553MA , A540LA , A540SA , F554MA , F556UA, E502MA, GL502VT , G501VW , K555LB, K555LJ, R556LA , X550ZA , X551MA , X552CL , X552WA , X555YA, X555DA , X555VB , R558UF, R558UR, R510JX, (Rog Series) UX501VW , 15.6-inch (Black-Clear) –', 'Laptop', 'Silicone', 'Removable', 'Easy Removable', 'Replacement for mfd defect before application']",₹373,https://rukminim1.flixcart.com/image/312/312/jw5a2kw0/keyboard-skin/y/m/e/laptop-chiclet-keyboard-skin-for-acer-aspire-laptops-saco-original-imafftceqv5mdg46.jpeg?q=70,4.2
"Sprig Tempered Glass Guard for Asus ROG 2, Asus ROG Phone II",https://www.flipkart.com//sprig-tempered-glass-guard-asus-rog-2-phone-ii/p/itm41075c1f153e5?pid=ACCFNFHWD6S4GFQG&lid=LSTACCFNFHWD6S4GFQGCUKOUB&marketplace=FLIPKART&srno=s_3_52&otracker=search&otracker1=search&fm=organic&iid=ec685889-8dd4-43ac-9aff-e92881a2e859.ACCFNFHWD6S4GFQG.SEARCH&ssid=c3zvnytpcg0000001592381525625&qH=21cb4bef2f76b785,"['Scratch Resistant, Anti Glare, 3D Screen Guard, Anti Fingerprint', 'Mobile', 'Tempered Glass', 'Removable', '30 days free replacement warranty support, subject to below kindly refer to our website http://sprig.store/pages/warranty']",₹499,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,3.9
